id,created_at,name,suburb,address,courts,price,booking_url,lat,lng,city,state,photo_url,opening_hours,open_hour,close_hour,google_rating,google_review_count,open_hour_weekend,close_hour_weekend,min_duration,peak_start_hour,peak_end_hour,late_night_hour,late_night_price,place_id
16,2026-03-14 11:00:12.321965+00,Sportlink Vermont South,Vermont South,"1 Timmothy Dr, Wantirna South VIC 3152, Australia",8,$22/hr,https://www.sportlink.org.au/court-hire,-37.8703005,145.2252767,Vermont South,VIC,https://lh3.googleusercontent.com/places/ANXAkqHD4nb6VbPsE1Fkk9cjiRv5ipmwpfZ1Sfnwf4w1QcMytD7sI3VEJcXMIskghsTL6rCWCD9PyOLfV7BAb6tMYa-JaPzWZoRFoVs=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.4,389,,,,,,,,ChIJX9CxlOE-1moRThh0t9_Q7kA
17,2026-03-14 11:00:12.321965+00,Knox Indoor Sports,Wantirna South,"96 George St, Scoresby VIC 3179, Australia",4,$15-$25/hr,https://insportzknox.com.au/,-37.8888432,145.221952,Wantirna South,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNEyH3Q58FiQ9OxKzs1ng4o0kVgVFH38X60Le3tSovS0s68QHY3befJ-5PZQNRXH0NKiL2vnwafzggRgj3bs_ch91UeWJsd_BL6JjzBCuWtFLzhie3OeshdQvBf6Uo7OhUUWJr6tCKfrYVPITdE=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.5,97,,,,,,,,ChIJy2Ji1mo81moR0-106-pn0mM
18,2026-03-14 11:00:12.321965+00,Play Badminton Maribyrnong,Maribyrnong,"2 River St, Maribyrnong VIC 3032, Australia",6,$25/hr,https://playbadminton.com.au/,-37.7782412,144.888816,Maribyrnong,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNG0LgtBlZmshBN1vHzR4cFFMmkvByAC8x7BBw688jeBgXtrLkaKq51jeoY8wrpQd8g9wd4VjmBL0L87pe0re2kXGHHKIr9pF5Mh87Ik_v2_LPb_-S8FOlFXJMNsfqUnIS0dqMTcYQX7iA4S3Q=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.7,9,,,,,,,,ChIJlaBPBsxd1moRYre7c6uaBvk
19,2026-03-14 11:00:12.321965+00,Narrandjeri Stadium,Thornbury,"65 Hutton St, Thornbury VIC 3071, Australia",4,$22/hr,https://darebinstadiums.com.au/,-37.7555959,144.9956867,Thornbury,VIC,https://lh3.googleusercontent.com/places/ANXAkqHFbtYmy3TuzBxcXh2hVUwaUBPDG4HrrZ0rAMmVJ59iUBNZRsijZPt21v1TVifbzVGCLFC0xdnkDui0u8npDryGok3l_zAlqmA=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.7,169,,,,,,,,ChIJJVp3U-FF1moRPYt85Wypiio
21,2026-03-14 11:00:12.321965+00,Melbourne Uni Sports,Parkville,"Tin Alley, Parkville VIC 3052",4,$19/hr,https://sport.unimelb.edu.au/court-venue-hire/court-hire,-37.797,144.961,Parkville,VIC,https://lh3.googleusercontent.com/places/ANXAkqGb9YBUaXO4F092duvssXydgL7Ddrwco6aXforzL6CO5-aVgrz-RK5LgKj3VkMKn4Uoh-kWwcTk1QW6Xus18kOJZy0fm7z7Aw=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.4,295,,,,,,,,ChIJHZXr3dRC1moRiRo-5O4Khw0
22,2026-03-14 11:00:12.321965+00,Monash University Badminton,Clayton,"42 Scenic Blvd, Clayton VIC 3168, Australia",12,$18/hr,https://www.monash.edu/sport/facilities-and-court-hire/clayton,-37.9122935,145.1364971,Clayton,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNH-7PKfFQaxc-d1aXl1w4NfM4fVkVbQVf1dqXUJaVWGl62JSnAI9KjatkHNKSQ1poXfXRRFnt9_YmTY80WvrDmH-USr5WepkE97PUK8VADzSR_0VsYkpo17wru_MNdcJnHlXosiUaV2EQdqMinISLAkOQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.3,595,,,,,,,,ChIJx4GtQctq1moRsuCNfZl3Ez0
23,2026-03-14 11:00:12.321965+00,Carlton Baths,Carlton,"248 Rathdowne St, Carlton VIC 3053",2,$22/hr,https://carltonbaths.ymca.org.au/visit/hire,-37.796,144.972,Carlton,VIC,https://lh3.googleusercontent.com/places/ANXAkqGAK6EeCBfoHj8hctNBEyqQzFVLTJjP_4BPTa0B8jmtRWKAwc_0XxZQpkinTFd0DlJzJAyF0WzInC5qkLJtbH1ugB2a59VEfvA=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.9,108,,,,,,,,ChIJC5uXlyhD1moRgcN1IfEeHo4
24,2026-03-14 11:00:12.321965+00,Werribee Badminton Association,Werribee,Werribee VIC 3030,4,$15/hr,https://www.werribeebadminton.org.au,-37.9,144.661,Werribee,VIC,https://lh3.googleusercontent.com/places/ANXAkqHtFVKBq7yXR7mw_wI033ZtAP3er-pZLSauQGDNKbTrrHbajCYMRRTinjv-viFc7b1b_43POOABIdFIumnJbXh7Bz0_9Uh4Ojw=s1600-w480,Mon–Sun 9am – 10pm,9,22,4.5,1811,,,,,,,,ChIJVVVVhRqF1moRFIrp1Cq5fro
25,2026-03-14 11:00:12.321965+00,Bendigo Badminton,Bendigo,"Bendigo VIC 3550, Australia",6,$15/hr,https://www.bendigo.vic.gov.au/,-36.7596196,144.2785764,Bendigo,VIC,https://lh3.googleusercontent.com/places/ANXAkqF0GUNRl8VaOM9Ogv7fZ9H9VpxaXjnUvrXKXTABLSPm9uAqde7lLmo_XoDJFHIRzU9Bf7akCgxCl1vBb85TmotwND8h_dvbBXM=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.5,44,,,,,,,,ChIJ7RjL1XlX12oRnlPD_NHLSok
26,2026-03-14 11:00:12.321965+00,Ballarat Badminton,Ballarat,"Lucas VIC 3350, Australia",4,$15/hr,https://www.ballarat.vic.gov.au/,-37.5691087,143.8563224,Ballarat,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNECtbIHYv1uPuEOTRiP1UUq-34AJjmR5qg67lyGyPs15ANRMee6AhTKWS_ie7Igt7IrqCpfy325aO2Hy_YANAPag-mFOxnnyKkXDE_eBI2Q2nNtYHMoYU7vWFp0pgch-j8t_NtQG2bjTBGAhoA=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.3,109,,,,,,,,ChIJb56FnRZE0WoR7vtcR6VRHdk
27,2026-03-14 11:00:12.321965+00,Geelong Badminton,Geelong,Geelong VIC 3220,6,$16/hr,https://badmintongeelong.asn.au/court-booking/,-38.1499,144.3617,Geelong,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNGex_ofoMEn31RsC1Ch6qgUthlC9W_c1Jj3YRvSUVSB9_y3OTNwJNXrmqDKJnf78cSDU_KEVUCCxS1ZotsMrq8NNiyHdmuTEOBNH5XXTY2bTjhpYpa2ROnYPwexVAlbCQdOTUjvXCZG90YguDjOcCpYrQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.7,35,,,,,,,,ChIJM7dYg9oQ1GoRmllYWve_IiA
30,2026-03-14 11:00:12.321965+00,BadmintonWorx Botany,Botany,"Unit 2/30 Sir Joseph Banks St, Botany NSW 2019, Australia",14,$34/hr,https://badmintoncentre-botany.yepbooking.com.au,-33.949537,151.202848,Botany,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNF31TbwCF9uUhJGaZVK02meaxt4Y6Py_2c5rSAxUnJsPMnGyMG4llcVdcD2Fe4nPdTnf9JW7tOycbVlSNgjlRvVwvIQx3fMVnPnAsjjfBZLkZS2ywukWo3P3BP7_hUM2PQFWKdduONMe-IGaQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.5,476,,,,,,,,ChIJndPX6j2xEmsR8MX8JVc_W5I
31,2026-03-14 11:00:12.321965+00,NBC Badminton Homebush,Homebush,"2b/172 Silverwater Rd, Silverwater NSW 2128, Australia",6,$25/hr,https://nbc.yepbooking.com.au,-33.829622,151.0490815,Homebush,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNE5lQSiyRDkGArdQiMVkRcZOLyNOfsNsoYg0sgcTtr7MlSyD0CXJhedKTYC6JnUdA3w5BcOhLBpn3RJ1YCgFZDmnmjI5ayWqjP71niZJ_ghCcylJz-yAJK5AxASI_JQZrQQKdNNZEOrHjXQGA=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.1,184,,,,,,,,ChIJi8Jd_uilEmsRk5N-Y3qnb7M
32,2026-03-14 11:00:12.321965+00,Pro1 Badminton Centre,Bankstown,"1/361 Milperra Rd, Bankstown Aerodrome NSW 2200, Australia",14,$29-$34/hr,https://pro1badminton.com.au,-33.9282691,150.9901969,Bankstown,NSW,https://lh3.googleusercontent.com/places/ANXAkqGGwQCzUFB7PVYzBCMEzX0iKwWBVlSxCsoStAa3DaX0cdRSGAIpsEQzBXN5CN8p6P9UUj_z7konmtOLwe726ZLzH30e6MPmwDs=s1600-w800,Mon-Sun 6am - 11pm,6,23,4.7,317,,,,,,,,ChIJneCks1C_EmsRR1BYfq3pvp8
33,2026-03-14 11:00:12.321965+00,Roketto Badminton,Castle Hill,"Castle Hill NSW 2154, Australia",6,$30/hr,https://www.roketto.com.au,-33.7270691,150.9947439,Castle Hill,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNHtIQYxvYgi8O_ZbV8MZq6vFhB3L-uw7jvTMLsYMrNFna8oj38m9wKs-HjF2eHwKbW_66GJTEcZnbYUwnWAsBA1Iy32AZN5c1T8ks0IGMjvdsmFQ8Xia_-PmUVNRjafR3o38MM0dBiyRyO9yA=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.7,219,,,,,,,,ChIJ7Ui-lPC7EmsRfVJrKReUFQY
34,2026-03-14 11:00:12.321965+00,The Badminton Club Wetherill Park,Wetherill Park,"Wetherill Park NSW 2164, Australia",7,$29-$36/hr,https://www.thebadmintonclub.com.au/,-33.8492918,150.9132815,Wetherill Park,NSW,https://lh3.googleusercontent.com/places/ANXAkqESDrkyfZl67ID23171plR2WyZnZONjl8ssvihgJSfLSvIyKpMuVaNLlRaHyclquE1iJFjLCz6KZsPSdmZ24rdyUmHJ-aokRTI=s1600-w800,Mon-Sun 5am - midnight,5,24,4.5,345,,,,,,,,ChIJAzUz7iKXEmsRmL_g7ECyjss
35,2026-03-14 11:00:12.321965+00,The Badminton Club Prestons,Prestons,"Prestons NSW 2170, Australia",10,$29-$36/hr,https://www.thebadmintonclub.com.au/,-33.9500347,150.86584,Prestons,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNH9hNg-2McAwINPqpWv-FQajMdM2JeF-D7N5bsUUpZU6KTq-26cRHeUfO-IXv-Q369UjbZLAJuhdu7JuVnzEjj-GR0oFFhTVcPT258ExI7NBSXEqFLOJjqlEKMwjjkymYk_4LATlBi6RvtuOA=s1600-w800,Mon-Sun 5am - midnight,5,24,4.6,115,,,,,,,,ChIJ9_8ZCN-TEmsREngUTgXkXPo
36,2026-03-14 11:00:12.321965+00,Sydney Olympic Park Sports Halls,Sydney Olympic Park,"138 Murray Rose Ave, Sydney Olympic Park NSW 2127",12,$30/hr,https://www.sydneyolympicpark.nsw.gov.au/things-to-see-and-do/badminton,-33.847,151.069,Sydney Olympic Park,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNEgkgG-PDg0AEpY8ZO1gDZvHhqno_2BK-uoYr3qnfhLDKy-xAJsP3BeJE_dSs_HVN3wj0PYfpocE_XaF71hfKJUl-IGPaic3brN9JDh9vVg5S67EDt66GYmZMn-bouBm-Vt1nSE8wuMM382tOE=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.2,473,,,,,,,,ChIJTbnXJ7ekEmsRrkWq1jmH2WI
37,2026-03-14 11:00:12.321965+00,King George V Recreation Centre,The Rocks,"Cumberland St, The Rocks NSW 2000",6,$28/hr,https://www.cityofsydney.nsw.gov.au/sports-facilities/multipurpose-courts-king-george-v-recreation-centre,-33.859,151.207,The Rocks,NSW,https://lh3.googleusercontent.com/places/ANXAkqHjhlni2Ih4yNnkTjRAv86r7LJFrhIRQulALTNDTWOyC-c6e169s34czaH3-M1xM98Q8UvwL1r7i16LnykkDAE2BacpmgjgwUs=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.4,404,,,,,,,,ChIJSytgJF2uEmsRVZ0iEjbLdfE
38,2026-03-14 11:00:12.321965+00,UNSW Badminton Courts,Kensington,UNSW Kensington Campus NSW 2052,6,$26/hr,https://unswfac.com.au/,-33.917,151.231,Kensington,NSW,https://lh3.googleusercontent.com/places/ANXAkqE1T8vlqhl-hE2Y0hqrMi4LFGCE1JUc92t3YMNbpsPk5UNL9N_1myT-f0sV92lpt4nyAO0HFb2rnPqDjdZ-9G4vU1EA6nhfQbg=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.6,297,,,,,,,,ChIJDdkXWouxEmsRRnJ9dxHVtec
39,2026-03-14 11:00:12.321965+00,Five Dock Leisure Centre,Five Dock,Five Dock NSW 2046,8,$28.50-$38/hr,https://www.fdlc.com.au/indoor-sports/book-court/badminton,-33.868,151.129,Five Dock,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNHCINCDt4rywTybievxahTYZZ4MDyFlj5pnhoxqBGewX8ac4Cva6Q6y_KWXPhWo1M1el5qReN3iuyLrZiE2_3fPJwwf4ePBK2rShR1wkOUNuTecaEwJ7pDMIFkxy6bS25Gp5eMTCnM9avv_z_4=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.2,185,,,,,,,,ChIJfftkY626EmsRMH7oiDuxzsc
40,2026-03-14 11:00:12.321965+00,PCYC Northern Beaches,Dee Why,"40 Kingsway, Dee Why NSW 2099, Australia",2,$22/hr,https://www.pcycnsw.org.au/northern-beaches/activities/badminton,-33.7503287,151.2862966,Dee Why,NSW,https://lh3.googleusercontent.com/places/ANXAkqGvoeBnJIXGxTt1o5ZIsuXAqTJxqCdiDKkpiaQ91Ljth1vWeUgq2sh_0g7jFuIx3iH2BMlD6xfRqWIFVG0A2yp8yMHAW1barrw=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.9,35,,,,,,,,ChIJa9f9koOqEmsRLbEogDqynQM
41,2026-03-14 11:00:12.321965+00,THE Y Epping,Epping,"15 Ward St, Epping NSW 2121, Australia",3,$24/hr,https://www.ymcansw.org.au/centres/epping-ymca/court-hire/,-33.7714651,151.0681159,Epping,NSW,https://lh3.googleusercontent.com/places/ANXAkqH1nwY8_CYTeGluu8zoBrbwvFo0U3xdDbp5DoZ29cQUIMVwEAvAWTYLTuwawL8HJkFVN1a_dCHh9SuNx_Evavcxd-FrCNSC5f0=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.1,128,,,,,,,,ChIJYyRffKCmEmsRBhA3eTkbx6U
42,2026-03-14 11:00:12.321965+00,Willoughby Leisure Centre,Willoughby,"Willoughby NSW 2068, Australia",8,$26/hr,https://www.willoughbyleisure.com.au/Bookings-and-availability/Book-a-badminton-court,-33.8071041,151.199349,Willoughby,NSW,https://lh3.googleusercontent.com/place-photos/AL8-SNFNdie2puRUoa60f3Ioi3D978Ae4vEWJyXGLAT2dsh16ZMVgXRj9vOzckwzNzU4kx-DciudqWUPs1P3glVQ5gv52wO_ny_k4ybpjguetOnfpe_J8IGZyiBjneq2ddmZ5mHgivlWr36fSUAc4EQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.7,84,,,,,,,,ChIJWQFBVDypEmsRW7A__buPlw8
43,2026-03-14 11:00:12.321965+00,Hurstville Stadium,Hurstville,Hurstville NSW 2220,3,$22/hr,https://hurstvilleaquatic.com.au/stadium/,-33.967,151.102,Hurstville,NSW,https://lh3.googleusercontent.com/places/ANXAkqHJAHiJMXCtCSBwPMRwMuFEHmDGd_3FJKh1aD2L7j-rd3Yz4S69x77dcp0yVf-H4B1DgFFqVGnVj4tcMhuamBAIsv3HXoVMC4M=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.6,1005,,,,,,,,ChIJ-yzuE_DxtAERJLpF-aISBqM
44,2026-03-14 11:00:12.321965+00,YMCA Ryde,Ryde,"Ryde NSW 2112, Australia",2,$35/hr,https://www.ymcansw.org.au/centres/ryde-community-sports-centre/court-hire/,-33.8129803,151.1049802,Ryde,NSW,https://lh3.googleusercontent.com/places/ANXAkqGd_tLbn7ayb1lSY_3Umr8w2sp6l3MoXSP1XQ3i9gI58UdN7T2epwkqMpstSMDi5DXMu0GMzxM5HBfz8ewZ0SdPxwaaYxMyXyU=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.3,247,,,,,,,,ChIJt925qN6lEmsR3X6wGOiMGn8
45,2026-03-14 11:00:12.321965+00,Sky Badminton Centre,Logan Central,"118/116 Wembley Rd, Logan Central QLD 4114, Australia",8,$25/hr,https://skybadminton.com.au/,-27.6426004,153.1078095,Logan Central,QLD,https://lh3.googleusercontent.com/places/ANXAkqFoNG5x_s4CHJGx9fB6TiP4YY-sIViodAzLCTTdIC8zu0w1DCVd3XcelLIHHSUewqH14V09HsoqCzyOyzp9_xoxL3kW3ZPHO8s=s1600-w800,"Mon-Fri 10am - 11pm, Sat-Sun 8am - 11pm",10,23,4.4,409,8,23,,,,,,ChIJDUrOuwhEkWsR_6GTmB8X3_M
46,2026-03-14 11:00:12.321965+00,IBC Archerfield,Archerfield,"Coopers Plains QLD 4108, Australia",8,$20/hr,https://ibcbooking.yepbooking.com.au,-27.5658223,153.0206446,Archerfield,QLD,https://lh3.googleusercontent.com/place-photos/AL8-SNGDBBgDY59ODkJ0sZyLW9dfRu4cGnqdBUenFNO7Z-e3r7IwzdvTIgXqHLJ7a8N1eDNAhTNvE9240WQUz_xKHqj8hdK0haMTm4Kooeq0IaZ-BzIfSEKVGRo8buUAoepYwlgUtLHLrUNI9MKbfDM=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.7,253,,,,,,,,ChIJQ9LQGOlFkWsR9E_5y2Mhwes
47,2026-03-14 11:00:12.321965+00,IBC Coopers Plains,Coopers Plains,"Coopers Plains QLD 4108, Australia",6,$20/hr,https://ibccoopersplains.yepbooking.com.au/,-27.5658223,153.0206446,Coopers Plains,QLD,https://lh3.googleusercontent.com/place-photos/AL8-SNHpfyfRRE-oj9Yf4bdIkLTCeo1Ld7aHWkOGTffAv6seoHcMPGY0E4bTYC8e3oMlN1wMy3GrKDbDRHedzeKnEWgzO-UzJUZNUBdd-f3MCmg6Xxl8AHN4B6cwRjPk9wUoS-QEhIRRHnWzIB4Xub0=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.3,304,,,,,,,,ChIJyTh1QD9FkWsRdI56IwGOyHA
